"Attribute","01 Community school","02 Voluntary aided school","03 Voluntary controlled school","05 Foundation school","06 City technology college","07 Community special school","08 Non-maintained special school","10 Other independent special school","11 Other independent school","12 Foundation special school","14 Pupil referral unit","15 Local authority nursery school","18 Further education","24 Secure units","25 Offshore schools","26 Service children's education","27 Miscellaneous","28 Academy sponsor led","29 Higher education institutions","30 Welsh establishment","31 Sixth form centres","32 Special post 16 institution","33 Academy special sponsor led","34 Academy converter","35 Free schools","36 Free schools special","37 British schools overseas","38 Free schools alternative provision","39 Free schools 16 to 19","40 University technical college","41 Studio schools","42 Academy alternative provision converter","43 Academy alternative provision sponsor led","44 Academy special converter","45 Academy 16-19 converter","46 Academy 16 to 19 sponsor led","47 Children's centre","48 Children's centre linked site","49 Online provider","56 Institution funded by other government department","57 Academy secure 16 to 19"
"Closed date","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"Date last changed / confirmed","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required"
"Establishment status","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required"
"Establishment type","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required"
"Headteacher or principal","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","not applicable","not applicable","optional","optional","optional"
"Local-authority-scoped establishment number","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"Number of pupils","optional","optional","optional","optional","required","optional","required","required","required","optional","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","not applicable","not applicable","required","required","required"
"Open date","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"Postal address","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required"
"Reason establishment closed","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"Reason establishment opened","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"Telephone number","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"UKPRN","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"URN","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required"
"Website","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional"
"Academy sponsor","","","","","","","","","","","","","","","","","","required","","","","","required","required","","required","","","","","","","","required","required","required","","","","",""
"Academy trust","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","required","not applicable","not applicable","not applicable","","required","required","required","required","not applicable","required","required","required","required","required","required","required","required","required","not applicable","not applicable","not applicable","not applicable","required"
"Admissions policy","required","required","required","required","required","required","required","required","required","required","optional","required","not applicable","not applicable","not applicable","not applicable","not applicable","required","not applicable","","not applicable","not applicable","required","required","required","required","","required","required","required","required","required","required","required","required","required","not applicable","not applicable","","not applicable","not applicable"
"Age range","required","required","required","required","required","required","required","required","required","required","required","required","required","not applicable","required","required","not applicable","required","required","not applicable","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","not applicable","not applicable","required","not applicable","not applicable"
"Boarding provision","required","required","required","required","required","required","","","required","required","not applicable","required","","not applicable","not applicable","not applicable","not applicable","required","not applicable","","","","required","required","required","required","","required","required","required","required","required","required","required","required","required","not applicable","not applicable","not applicable","not applicable","not applicable"
"Date of last inspection visit","","","","","","","","","","","","","","","","","","","","","","","","","","","required","","","","","","","","","","","","","",""
"Date of next inspection visit","","","","","","","","","","","","","","","","","","","","","","","","","","","required","","","","","","","","","","","","","",""
"Diocese","required","required","required","required","optional","required","not applicable","not applicable","optional","required","","required","","","","","","required","","not applicable","","","required","required","required","required","","required","required","required","required","required","required","required","required","required","","","not applicable","",""
"Education phase","required","required","required","required","required","required","","","required","required","","required","","required","required","required","required","required","","required","","","required","required","required","required","required","required","required","required","required","required","required","required","required","required","","","","required","required"
"Further education type","","","","","","","","","","","required","","","","","","","","required","","","","","","","","","","","","","","","","","","","","","",""
"Gender of entry","required","required","required","required","required","required","","","required","required","required","required","","required","required","required","required","required","","","","","required","required","required","required","required","required","required","required","required","required","required","required","required","required","not applicable","not applicable","","required","required"
"Inspectorate name","","","","","required","","required","required","required","","","","","","","","","","","","","","","","","","required","","","","","","","","","","","","","",""
"Local authority","required","required","required","required","","required","","","","required","required","required","","","","","","","","required","","","","","","","","","","","","","","","","","required","required","","",""
"Local authority - accountability relationship","","","","","not applicable","","not applicable","not applicable","not applicable","","","","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","","not applicable","","","not applicable","not applicable","","not applicable","","","not applicable","not applicable","","","","","","","","not applicable","not applicable",""
"Manager","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","required","required","","",""
"Number of pupils eligible for free school meals","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","required","","","required","required",""
"Nursery provision","required","required","required","required","required","required","required","required","required","required","not applicable","","not applicable","not applicable","not applicable","not applicable","not applicable","required","not applicable","","not applicable","not applicable","required","required","required","required","","required","required","required","required","required","required","required","required","required","","","not applicable","not applicable","not applicable"
"Proprietor","not applicable","not applicable","not applicable","not applicable","required","not applicable","required","required","required","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","","","not applicable","not applicable","","required","","","not applicable","not applicable","","","","","","not applicable","not applicable","","not applicable",""
"Provider type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","required","required","","",""
"Religious character","required","required","required","required","required","required","required","required","required","required","","required","","","","","","required","","required","","","required","required","required","required","","required","required","required","required","required","required","required","required","required","","","not applicable","",""
"Religious ethos","not applicable","not applicable","not applicable","not applicable","required","not applicable","required","required","required","not applicable","","not applicable","","","","","","required","","not applicable","","","required","required","required","required","","required","required","required","required","required","required","required","required","required","","","required","",""
"School capacity","optional","optional","optional","optional","optional","optional","optional","optional","optional","optional","not applicable","optional","not applicable","not applicable","not applicable","not applicable","not applicable","optional","not applicable","not applicable","not applicable","optional","optional","optional","optional","optional","not applicable","optional","optional","optional","optional","optional","optional","optional","optional","optional","not applicable","not applicable","not applicable","not applicable","optional"
"Section 41 approved","not applicable","not applicable","not applicable","not applicable","required","not applicable","required","required","required","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","required","not applicable","required","not applicable","required","required","required","required","required","not applicable","required","required","required","required","required","required","required","required","required","not applicable","not applicable","not applicable","not applicable","not applicable"
"Sixth-form provision","required","required","required","required","required","required","required","required","required","required","not applicable","required","not applicable","not applicable","not applicable","not applicable","not applicable","required","not applicable","","not applicable","not applicable","not applicable","required","required","not applicable","","not applicable","not applicable","required","required","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","","not applicable","not applicable"
"Special classes","required","required","required","required","required","required","required","required","required","required","","required","","","","","","required","","","","","required","required","required","required","","required","required","required","required","required","required","required","required","required","","","","",""
"Type of resourced provision","required","required","required","required","","required","not applicable","not applicable","","required","","required","","","","","","required","","","","not applicable","required","required","required","required","","required","required","required","required","required","required","required","required","required","","","not applicable","",""
